id_establecimiento,descripcion,estado,fecha_alta,fecha_ultima_modificacion,id_usuario,id_localidad,id_direccion,id_tipo_establecimiento,id_jurisdiccion,cod_dominio,fecha_baja
276,HOSPITAL NAVAL,A,2021-01-06 00:00:00,2021-01-06 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
349,GERIATRICO AÑOS DORADOS  MEXICO 4167/71 PB. Y PI. 1,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
350,"GERIATRICO APART INCAS S.A. ZAPIOLA Nº 1641 Y AV. DE LOS INCAS Nº 3083/93 PB. SOTANO, PISOS 1º 2º",A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
351,GERIATRICO RESIDENCIA GERIATRICA ARANGUREN S.A REMEDIOS DE ESCALADA DE SAN MARTIN 3073/75,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
352,GERIATRICO RESIDENCIA GERIATRICA ARTIGAS ARTIGAS GRAL JOSE DE 1966 PB. AZOTEA,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
353,GERIATRICO ARTIGAS  ARTIGAS GRAL JOSE DE 395/97 PB. EP. PI. 1º 2º,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
354,GERIATRICO HOGAR ARTIGAS ARTIGAS GRAL JOSE DE 428,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
355,GERIATRICO  ASOCIACION DE BENEFICENCIA BRITANICA Y NORTEAMERICANA  SEGUROLA AV. 2941 PB. PA. Y PEDRO LOZANO 4487,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
356,GERIATRICO ATHENAI  MARTINEZ CASTRO Nº 828 PISO PB. PA.,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
357,GERIATRICO AGUSTUM GRIVEO 2475 PB. PA. PI. 1° TERRAZA,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
358,GERIATRICO RESIDENCIA AVRIL BRASIL 1314/18,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
359,GERIATRICO  AYELEN DE LOS CONSTITUYENTES AV. 5933 PB. PA.,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
360,GERIATRICO  AZUL- AZUL FREIRE CAP. GRAL RAMON 4662 PB. PA. AZOTEA,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
361,GERIATRICO RESIDENCIA GERIATRICA BACACAY  CAMARONES 2551 PB PI 1°,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
362,GERIATRICO RESIDENCIA BAHIA BLANCA BAHIA BLANCA 1755/ 57/ 63/ 67 PI 1°Y 2° TERRAZA.,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
363,GERIATRICO GERIATRICO BALDOMERO BALDOMERO FERNANDEZ MORENO 1223 PB. PA.,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
364,GERIATRICO LE-SA CALIFORNIA 2580 PB. PI. 1º,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
365,GERIATRICO BARRACAS CORONEL SALVADORES 1483 PB Y 1ºPISO,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
366,GERIATRICO BARRAGÀN BARRAGAN 264 PB. PA.,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
367,GERIATRICO BEIT- AVOT CESPEDES 3135 PB. PI. 1º 2º 3º,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
368,GERIATRICO BEIT SION DOVER (SEFARADI) CONDARCO 458/62 PB. P1 AL 6 AZOTEA SS.,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
369,"GERIATRICO  GERIATRICO BELAUSTEGUI BELAUSTEGUI LUIS, DR. 1213 PISO PB",A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
370,GERIATRICO BELTRAN  FRAY LUIS BELTRAN 165,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
371,GERIATRICO BENDITA VICTORIA CORVALAN 475,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
372,GERIATRICO BRISAS MOSCONI GRAL. AV. 2536 PB. ENTRE PISO. UF Nº 2,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
373,GERIATRICO BUEN AYRE GOYA 713 PB.,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
374,"GERIATRICO GERIATRICO BUENOS AIRES  BOLIVIA 540/42 PB, 1°, 2° Y 3° PISO.",A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
375,"GERIATRICO BUENOS AIRES HOME S.R.L LOPE DE VEGA AV. N° 1619/21,ALCRZ N° 5287 PB, 1°, 2°, 3° PISOS Y AZOTEA, UF N° 1 Y 2 (UNIFICADAS)",A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
376,GERIATRICO HOGAR CAMARGO  CAMARGO 880/84 PB. PI. 1º 2º,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
377,GERIATRICO CANALEJAS  SANABRIA 2021/23 P.B. P.A.,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
378,"GERIATRICO RESIDENCIAL CARACAS CARACAS 5089/91/93 P.B., P.A., SOTANO",A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
379,GERIATRICO CARMIR  PACHECO 2301/19/25 PB. 1º,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
380,GERIATRICO CARPE DIEM COCHABAMBA 3279 / 85 PB. EP 1º PA EP 2º,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
381,GERIATRICO CARPE DIEM DIRECTORIO AV. 2363,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
382,GERIATRICO  CARPE DIEM PARAGUAY 2426/38/ PB. EP. S/PB. P1º (EPS/P1º) AZOTEA,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
383,"GERIATRICO CARPE DIEM ARENALES ARENALES N° 2131/35 PB, 1°, 2°, 3° Y 4° PISO, AZOTEA Y SOTANO",A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
384,GERIATRICO CARPE DIEM CASEROS 860,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
385,GERIATRICO CASAZUL LUIS MARIA CAMPOS AV. 180 P.B. P.I. 1º PISO,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
386,"GERIATRICO CASA DE DESCANSO OBODOURIAN ODIARBEKIRIAN NICETO VEGA CNEL.N° 5036 PB/SERRANO N° 1296/98 SOTANO, 1° AL 6° PISO",A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
387,GERIATRICO  RESIDENCIA  GERIATRICA LA  CASA DEL SOL BUCARELLI N° 2932/34 PB. PISO 1°,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
388,GERIATRICO CASA DEL SOL  PRINGLES 377,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
389,GERIATRICO CASA GRANDE  SANTA MAGDALENA 615 PB.,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
390,GERIATRICO CASA II FRANCISCO BILBAO 1753,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
391,"GERIATRICO  CASA MATER URIBURU PTE. JOSE E. N° 1270/72, PB, 1° AL 7° PISO AZOTEA Y TERRAZA",A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
392,GERIATRICO RESIDENCIA GERIATRICA CASA BLANCA  BENITO JUAREZ 2120,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
17,HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,17,1,1,2.16.840.1.113883.2.10.27,
8,HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,8,1,1,2.16.840.1.113883.2.10.27,
21,HOSPITAL DE INFECCIOSAS F. MUÑIZ,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,21,1,1,2.16.840.1.113883.2.10.27,
22,HOSPITAL DE OFTALMOLOGIA SANTA LUCIA,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,22,1,1,2.16.840.1.113883.2.10.27,
19,HOSPITAL DE QUEMADOS DR. A. ILLIA,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,19,1,1,2.16.840.1.113883.2.10.27,
16,HOSPITAL DE REHABILITACION M. ROCCA,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,16,1,1,2.16.840.1.113883.2.10.27,
20,HOSPITAL DE REHABILITACION PSICOFISICA (I.R.E.P),A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,20,1,1,2.16.840.1.113883.2.10.27,
6,HOSPITAL DE REHABILITACION RESPIRATORIA M. FERRER,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,6,1,1,2.16.840.1.113883.2.10.27,
9,HOSPITAL DE SALUD MENTAL B. MOYANO,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,9,1,1,2.16.840.1.113883.2.10.27,
13,HOSPITAL DE SALUD MENTAL J. BORDA,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,13,1,1,2.16.840.1.113883.2.10.27,
29,HOSPITAL GENERAL DE AGUDOS A. ZUBIZARRETA,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,29,2,1,2.16.840.1.113883.2.10.27,
23,HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,23,2,1,2.16.840.1.113883.2.10.27,
31,HOSPITAL GENERAL DE AGUDOS D. VELEZ SARSFIELD,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,31,2,1,2.16.840.1.113883.2.10.27,
32,HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,32,2,1,2.16.840.1.113883.2.10.27,
24,HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,24,2,1,2.16.840.1.113883.2.10.27,
27,HOSPITAL GENERAL DE AGUDOS DR C. DURAND,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,27,2,1,2.16.840.1.113883.2.10.27,
34,HOSPITAL GENERAL DE AGUDOS DR E. TORNU,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,34,2,1,2.16.840.1.113883.2.10.27,
30,HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,30,2,1,2.16.840.1.113883.2.10.27,
26,HOSPITAL GENERAL DE AGUDOS DR T. ALVAREZ,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,26,2,1,2.16.840.1.113883.2.10.27,
25,HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,25,2,1,2.16.840.1.113883.2.10.27,
101,CMB Nº 22,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,33,2,2,2.16.840.1.113883.2.10.27,
97,CMB Nº 1,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,28,2,2,2.16.840.1.113883.2.10.27,
100,CMB Nº 10,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,35,2,2,2.16.840.1.113883.2.10.27,
194,CMB 12,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,1802,3,1,2.16.840.1.113883.2.10.27,
183,CMB 13,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,12,1,1,2.16.840.1.113883.2.10.27,
188,CMB 17,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,58,1,1,2.16.840.1.113883.2.10.27,
190,CMB 18,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,18,1,1,2.16.840.1.113883.2.10.27,
203,CMB 19,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,203,1,1,2.16.840.1.113883.2.10.27,
195,CMB 2,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,1801,1,1,2.16.840.1.113883.2.10.27,
184,CMB 20,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,15,1,1,2.16.840.1.113883.2.10.27,
209,CMB 23,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,1840,3,1,2.16.840.1.113883.2.10.27,
191,CMB 24,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,1821,1,1,2.16.840.1.113883.2.10.27,
196,CMB 25,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,2581,4,1,2.16.840.1.113883.2.10.27,
186,CMB 26,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,1480,4,1,2.16.840.1.113883.2.10.27,
208,CMB 27,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,1826,5,1,2.16.840.1.113883.2.10.27,
218,CMB 28,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,2561,5,1,2.16.840.1.113883.2.10.27,
207,CMB 29,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,1661,5,1,2.16.840.1.113883.2.10.27,
98,CMB Nº 3,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,112,5,2,2.16.840.1.113883.2.10.27,
189,CMB 30,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,1701,5,1,2.16.840.1.113883.2.10.27,
202,CMB 32,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,1546,5,1,2.16.840.1.113883.2.10.27,
187,CMB 33,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,1481,5,1,2.16.840.1.113883.2.10.27,
206,CMB 34,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,1827,5,1,2.16.840.1.113883.2.10.27,
201,CMB 35,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,201,5,1,2.16.840.1.113883.2.10.27,
200,CMB 36,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,117,5,1,2.16.840.1.113883.2.10.27,
193,CMB 37,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,118,5,1,2.16.840.1.113883.2.10.27,
197,CMB 38,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,103,5,1,2.16.840.1.113883.2.10.27,
198,CMB 39,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,2562,5,1,2.16.840.1.113883.2.10.27,
99,CMB Nº 4,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,120,5,2,2.16.840.1.113883.2.10.27,
204,CMB 5,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,1544,5,1,2.16.840.1.113883.2.10.27,
205,CMB 6,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,1660,5,1,2.16.840.1.113883.2.10.27,
185,CMB 7,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,2501,5,1,2.16.840.1.113883.2.10.27,
192,CMB 8,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,1822,5,1,2.16.840.1.113883.2.10.27,
199,CMB 9,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,2580,5,1,2.16.840.1.113883.2.10.27,
33,HOSPITAL GENERAL DE AGUDOS J. A. PENNA,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,33,5,1,2.16.840.1.113883.2.10.27,
28,HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,28,5,1,2.16.840.1.113883.2.10.27,
35,HOSPITAL GENERAL DE AGUDOS P. PIÑERO,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,35,5,1,2.16.840.1.113883.2.10.27,
4,HOSPITAL GENERAL DE NIÑOS R. GUTIERREZ,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,4,5,1,2.16.840.1.113883.2.10.27,
12,HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,12,5,1,2.16.840.1.113883.2.10.27,
252,CASA DEL TEATRO,A,2020-09-11 00:00:00,2020-09-11 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
306,HELIOS SALUD,A,2021-02-03 10:05:28,2021-02-03 10:05:30,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
307,MINISTERIO DE SALUD - MONASTERIO,A,2021-02-03 10:05:28,2021-02-03 10:05:30,1,1.0,307,2,2,2.16.840.1.113883.2.10.27,
393,GERIATRICO  CASEROS CASEROS AV. 1847 PB. EP. PI. 1º AZOTEA,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
394,GERIATRICO NUEVO EMPRENDIMIENTO CASTRO SENIOR APART  CASTRO BARROS 90/2,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
395,"GERIATRICO HOGAR GERIATRICO CATAMARCA S.R.L  CATAMARCA 556/58 PB, EP, PA, TERRAZA",A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
396,GERIATRICO  INSTITUTO GERIATRICO DE REHABILITACION INTEGRAL  BILLINGHURST 2180 PI. 1º 2º PB. Y TERRAZA,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
397,GERIATRICO  INSTITUTO GERIATRICO DE REHABILITACION INTEGRAL  PARAGUAY 2465 PB. PI. 1º ENTRESUELO Y TERRAZA,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
398,GERIATRICO  CENTRO DEL PARQUE TERRADA 2749/57 PB. PI. 1° 2°,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
399,GERIATRICO DEL SOL CASTRO 1169 PB. PISO 1 -2,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
400,GERIATRICO  CENTRO GERIATRICO DORREGO S.R.L  GUEVARA 311,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
401,GERIATRICO CENTRO DE  GERIATRIA BELGRANO S.R.L  FEDERICO LACROZE 2146,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
402,GERIATRICO CENTRO GERIATRICO BELGRANO VIDAL 3568,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
403,GERIATRICO  INSTITUTO CHATELET FERNANDEZ DE ENCISO 3715,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
404,GERIATRICO LAS CINCO PALMERAS  HIPOLITO YRIGOYEN AV. 2452/60 PISOS 1° 2°,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
405,"GERIATRICO CLINICA CENTRAL  ZUVIRIA N° 247/51 PB. PISOS 1° AL 3°, AZOTEA",A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
406,GERIATRICO CLINICA GERIATRICA S.A PORTELA 445/47,A,2021-02-18 00:00:00,2021-02-18 00:00:00,1,1.0,3,7,2,2.16.840.1.113883.2.10.27,
58,HOSPITAL MATERNO INFANTIL R. SARDA,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,58,5,1,2.16.840.1.113883.2.10.27,
18,HOSPITAL MUNICIPAL DE ONCOLOGIA M. CURIE,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,18,5,1,2.16.840.1.113883.2.10.27,
11,HOSPITAL OFTALMOLOGICO P. LAGLEYZE,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,11,5,1,2.16.840.1.113883.2.10.27,
14,HOSPITAL QUINQUELA MARTIN,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,14,5,1,2.16.840.1.113883.2.10.27,
15,HOSPITAL DE ODONTOLOGIA  JOSE DUEÑAS,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,15,5,1,2.16.840.1.113883.2.10.27,
3,HOSPITAL GENERAL DE NIÑOS DR. PEDRO  ELIZALDE,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,3,5,1,2.16.840.1.113883.2.10.27,
5,INSTITUTO DE ZOONOSIS L. PASTEUR,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,5,5,1,2.16.840.1.113883.2.10.27,
180,CEMAR 1,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,135,5,2,2.16.840.1.113883.2.10.27,
211,CEMAR 2,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,136,5,2,2.16.840.1.113883.2.10.27,
102,CESAC 1,A,2019-08-20 00:00:00,2021-05-10 19:42:10,1,1.0,102,5,1,2.16.840.1.113883.2.10.27,
110,CESAC 10,A,2019-08-20 00:00:00,2021-05-10 19:42:10,1,1.0,110,5,1,2.16.840.1.113883.2.10.27,
111,CESAC 11,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,111,5,1,2.16.840.1.113883.2.10.27,
112,CESAC 12,A,2019-08-20 00:00:00,2019-08-20 00:00:00,1,1.0,112,5,1,2.16.840.1.113883.2.10.27,
